symbol,address,decimals
CRO,DvjMYMVeXgKxaixGKpzQThLoG98nc7HSU7eanzsdCboA,8
GT,ABAq2R9gSpDDGguQxBk4u13s4ZYW6zbwKVBx15mCMG8,8
TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,6
RENDER,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,8
FDUSD,9zNQRsGLjNKwCUU5Gq5LR8beUCPzQMVMqKAi3SSZh54u,6
SPX,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,8
FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,6
VIRTUAL,3iQL8BFS2vE7mww4ehAqQHAsbmRNCrPxizWAT2Zfyr9y,9
PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,6
PAXG,C6oFsE8nXRDThzrMEQ5SxaNFGKoyyfWDDVPw37JKvPTe,8
GRT,HGsLG4PnZ28L8A4R5nPqKgZd86zUUdmfnkTRnuFJ5dAX,8
ENS,CLQsDGoGibdNPnVCFp8BAsN2unvyvb41Jd5USYwAnzAg,8
LDO,HZRCwxP2Vq9PCpPXooayhJ2bxTpo5xfpQrwB1svh332p,8
GALA,eEUiUs4JWYZrp72djAGF1A8PhpR6rHphGeGN7GbVLp6,8
MANA,7dgHoN8wBZCc5wbnQ2C47TDnBMAxG4Q5L3KjP67z8kNi,8
DOG,dog1viwbb2vWDpER5FrJ4YFG6gq6XuyFohUe9TXN65u,5
COMP,AwEauVaTMQRB71WeDnwf1DWSBxaMKjEPuxyLr1uixFom,8
MOG,26VfKb7jjtdEdvfovoBijScoZmJbWWasFZkgfUD5w7cy,4
AXS,HysWcbHiYY9888pHbaqhwLYZQeZrcQMXKQWRqS7zcPK5,8
LUNC,F6v4wfAdJB8D8p77bMXZgYt8TDKsYxLYxH5AFhUkYx9W,6
ATH,Dm5BxyMetG3Aq5PaG1BrG7rBYqEMtnkjvPNMExfacVk7,9
TWT,HZNpqL7RT9gxf9eWoWsWzC5DfjzQ41XTQgEA7p3VzaaD,8
GRASS,Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs,9
TURBO,2Dyzu65QA9zdX1UeE7Gx71k7fiwyUK6sZdrvJ7auq5wm,8
FTT,AGFEad2et2ZJif9jaGpdMixQqvW5i81aBdvKe7PHNfz3,6
1INCH,AjkPkq3nsyDe1yKcbyZT7N4aK4Evv9om9tzhQD3wsRC,8
